Shop name,start_time,end_time
SINCE1881UH SNOO IA,3.9013333333333335,3.9013333333333335
MEENA BAZAAR,3.9066666666666667,3.9093333333333335
PRIDE OF INDIA,3.9153333333333338,3.916
IDE OF INDIA,3.918,3.918
DE OF INDIA,3.9186666666666667,3.9186666666666667
MEENA,3.920666666666667,3.970666666666667
INCE1881 ONS,3.929333333333333,3.929333333333333
SNOS INCE1881 HT-RON,3.93,3.93
ALSONS INCE1881,3.9306666666666668,3.9306666666666668
INCE188,3.9313333333333333,3.9313333333333333
NCE188,3.9320000000000004,3.9346666666666668
ICE188,3.9353333333333333,3.9353333333333333
CE188,3.936,3.936666666666667
SNOS CE1881 qt-Ho,3.936,3.936
LA SONS E 1881 yt-Hrao,3.9393333333333334,3.9393333333333334
,3.94,4.173333333333334
SONS E1881 qt-H  sae,3.94,3.94
SONS 1881 qt-Ha,3.9406666666666665,3.9406666666666665
MBENA,3.9413333333333336,3.9413333333333336
SONS,3.942,3.95
SONS 1881,3.9426666666666668,3.9426666666666668
ONS,3.9506666666666663,3.9513333333333334
MEEN,3.9646666666666666,3.972
nao MEEN,3.966666666666667,3.966666666666667
papao EEN,3.9673333333333334,3.9673333333333334
bac MEENA,3.9680000000000004,3.9680000000000004
PEENA,3.969333333333333,3.969333333333333
tifertyle,3.993333333333333,3.993333333333333
lifertyle,3.9940000000000007,4.026
lifestyle,3.994666666666667,4.133333333333334
ifestyle,3.997333333333333,4.0040000000000004
'ifestyle,3.9993333333333334,4.002666666666666
I'festyle,4.004666666666667,4.007333333333333
"""'fest""le",4.005333333333334,4.005333333333334
"I'fest""le",4.006666666666667,4.006666666666667
I'festvle,4.008,4.008
Pfestyle,4.008666666666667,4.008666666666667
P'festyle,4.009333333333333,4.009333333333333
"""estyle",4.01,4.011333333333334
"""estylo",4.010666666666667,4.010666666666667
Restytr,4.012,4.012
Iostylr,4.013333333333334,4.013333333333334
Feastytr,4.014,4.014
lifastyle,4.014666666666667,4.014666666666667
lifostyle,4.016,4.016
lif~style,4.016666666666667,4.017333333333333
lif--tyle,4.019333333333333,4.019333333333333
lifr-tyle,4.020666666666667,4.020666666666667
life-tyle,4.021333333333334,4.024
lifeyle,4.022,4.022
life-yle,4.022666666666667,4.022666666666667
life~-yle,4.023333333333333,4.023333333333333
lifectyle,4.025333333333333,4.025333333333333
lifertle,4.026666666666666,4.026666666666666
lifesle,4.027333333333334,4.027333333333334
"lifes""le",4.0280000000000005,4.0280000000000005
lifestle,4.028666666666667,4.028666666666667
lifest:le,4.029333333333333,4.029333333333333
lifest'e,4.03,4.030666666666667
lifest.'),4.031333333333333,4.031333333333333
lifestyl?,4.032,4.032
lifestyl,4.032666666666667,4.034
lifesty'-,4.033333333333333,4.033333333333333
lifestyl-,4.034666666666667,4.035333333333333
lifestyl~,4.036,4.036
lifestylr,4.036666666666667,4.036666666666667
Uestyle,4.046666666666667,4.046666666666667
Gfestrte,4.048,4.048
lifestvle,4.050666666666666,4.050666666666666
Cfesty's,4.052666666666666,4.052666666666666
Cfesty'e,4.053333333333334,4.053333333333334
lifestyte,4.054666666666667,4.054666666666667
lfestyte,4.056,4.056
Mestyle,4.056666666666667,4.056666666666667
RAMAY,4.067333333333333,4.214
RAMAYA,4.070666666666667,4.213333333333334
RAMAY A,4.096,4.167333333333334
RAMA.,4.1113333333333335,4.1113333333333335
Ifestyle,4.115333333333334,4.115333333333334
tifestyle,4.1160000000000005,4.118666666666667
Gifestyle,4.1193333333333335,4.1193333333333335
Lifestyle,4.132666666666667,4.132666666666667
festyle,4.1339999999999995,4.134666666666667
style,4.1353333333333335,4.1353333333333335
yle,4.136666666666667,4.136666666666667
RAMAYA HHAPEAPA,4.172,4.172
HDESIGN,4.195333333333333,4.195333333333333
IDESIGN,4.196000000000001,4.196000000000001
HIDESIGN,4.1979999999999995,4.1979999999999995
HIDESIGH,4.198666666666667,4.198666666666667
